Direcciones;Latitud;Longitud;Nro Radicado
Carrera 50 Calle 77 Sur LA ESTRELLA;6154535;-75626803;10246
Carrera 50 Calle 88 Sur LA ESTRELLA;61481678;-756361426;10247
Carrera 54 Calle 79 Sur LA ESTRELLA;6156839;-756340866;10248
Carrera 55 Calle 87 Sur LA ESTRELLA;61501338;-756371597;10249
Calle 83 Sur Carrera 56 LA ESTRELLA;61541227;-756394556;10250
Carrera 60 Calle 87 Sur LA ESTRELLA;61522108;-75645095;10251
Calle 80 Sur Carrera 57B LA ESTRELLA;61571999;-756409544;10252
Carrera 50 Calle 90 Sur LA ESTRELLA;61721663;-756089299;10253
Carrera 55 Calle 77 Sur LA ESTRELLA;61604047;-756372673;10254
Carrera 50 Calle 100B Sur LA ESTRELLA;61187752;-756344243;10255
Carrera 50 Calle 100B Sur LA ESTRELLA;61187752;-756344243;10256
Carrera 61 Calle 80 Sur LA ESTRELLA;6158204;-756435854;10257
Carrera 55 Calle 87 Sur LA ESTRELLA;61501338;-756371597;10258
Carrera 50 Calle 97 Sur LA ESTRELLA;61331391;-756337246;10259
Carrera 50 Calle 93 Sur LA ESTRELLA;61511449;-75636623;10260
Carrera 50 Calle 84 Sur LA ESTRELLA;61414495;-756317338;10261
Calle 77 Sur Carrera 57 Sur LA ESTRELLA;61600369;-756395242;10262
Carrera 50 Calle 93 Sur LA ESTRELLA;61511449;-75636623;10263
Carrera 50 Calle 97B Sur LA ESTRELLA;61317917;-756334631;10264
Carrera 55 Calle 80 Sur LA ESTRELLA;61543856;-756363237;10265
Calle 83B Sur Carrera 52 LA ESTRELLA;61522882;-756357671;10266
Calle 77 Sur Carrera 63B LA ESTRELLA;61605329;-756365359;10267
Carrera 50 Calle 79 Sur LA ESTRELLA;61539353;-756289665;10268
Carrera 55 Calle 80 Sur LA ESTRELLA;61543856;-756363237;10269
Calle 74 Sur Carrera 63 LA ESTRELLA;61641853;-75649648;10270
Calle 79 Sur Carrera 52 LA ESTRELLA;61560819;-756306278;10271
Calle 80 Sur Carrera 52 LA ESTRELLA;61531833;-75634519;10272
Carrera 51 Calle 83C Sur LA ESTRELLA;61358963;-75635069;10273
Calle 80 Sur Carrera 63 LA ESTRELLA;61586293;-756450655;10274
